train_lang,test_lang,acc,f1
en,et,0.8944255242875068,0.8644204783673881
en,eu,0.7492425814484333,0.6782947578537141
en,fa,0.7334179625515709,0.6682519910919866
en,fi,0.8722045668549906,0.8425529152058174
en,fr,0.5302519046709535,0.5104764654282192
en,he,0.7467097391720507,0.6836720586202129
en,hi,0.771928330067865,0.7072940410289809
en,hu,0.8591697320021019,0.8185343346586169
en,id,0.8556929908024105,0.8158212000370954
en,it,0.8837588068441761,0.8724696356275303
en,ja,0.33493073102727194,0.28311124883792993
en,ko,0.6253625523686754,0.5024976329622254
en,mr,0.8325,0.7660818713450291
en,nl,0.9135495684017787,0.8991343620624764
en,pt,0.901286262317278,0.8841740521090158
en,ru,0.9006850047401472,0.8833467104084034
en,ta,0.7528786536758193,0.6499466382070437
en,te,0.8897280966767371,0.8564273789649416
en,tr,0.7963588012682827,0.7379228486646884
en,ur,0.7192236472121254,0.6227721555291514
en,vi,0.6270627062706271,0.551453025477707
en,zh,0.4154623706862513,0.32144010332579914
es,af,0.8463419221365431,0.8357017714619427
es,ar,0.6379204186869853,0.5864558581612136
es,bg,0.8952700602896388,0.8856314537932831
es,de,0.8436421715611675,0.8355672037709683
es,el,0.8332182661011934,0.8233643402795822
es,en,0.8712638906629199,0.8567852246698285
es,es,0.9767559943582511,0.9738270727880888
es,et,0.8806909840473203,0.8453410182516812
es,eu,0.7619008092965346,0.6981674282753098
es,fa,0.7624246271025071,0.7093311312964493
es,fi,0.8534310263653484,0.8187960988000066
es,fr,0.610927187453577,0.6763192072730771
es,he,0.7559224694903087,0.6993576904482354
es,hi,0.7151091802254593,0.6424920905329763
es,hu,0.8615344193378875,0.8049303857477917
es,id,0.8381699968284174,0.792115685732707
es,it,0.922371671699149,0.9152526105651106
es,ja,0.2119891957828701,0.16350490371536977
es,ko,0.604334514985498,0.4884281895821109
es,mr,0.8275,0.7698986975397974
es,nl,0.8848199494288953,0.8655804001786932
es,pt,0.935110197327182,0.927433628318584
es,ru,0.8910621493894832,0.8729234357752181
es,ta,0.7378210806023029,0.6488794023479189
es,te,0.8368580060422961,0.8006644518272424
es,tr,0.7707885854556612,0.7088068181818181
es,ur,0.6782799533639668,0.59120215457439
es,vi,0.5908459266979329,0.5223377909856366
es,zh,0.29661217720919214,0.22828799038027958
et,af,0.784088771863833,0.7608137467904406
et,ar,0.6447317786500423,0.5703126838105546
et,bg,0.8538131642737274,0.8260826413471399
et,de,0.8010758358822909,0.7838171730752569
et,el,0.7943584179899399,0.7713127270812491
et,en,0.8204911227487546,0.7896670633300615
et,es,0.7444851904090268,0.6990323533756833
et,et,0.979073310629145,0.9723939123100744
et,eu,0.7515252126997303,0.6657165632020097
et,fa,0.7188194224055855,0.6113462509222226
et,fi,0.8900659133709982,0.8660767919473983
et,fr,0.505411599923601,0.50513758210545
et,he,0.7854749940177076,0.7141337493794766
et,hi,0.7222080245336059,0.6466300876259111
et,hu,0.8184445612191277,0.7631343728274903
et,id,0.8193783698065334,0.7662860351928117
et,it,0.7570683502607741,0.7075793599474748
et,ja,0.32952862246231596,0.25822013456899834
et,ko,0.6049790525298099,0.4807689158875444
et,mr,0.8475,0.7930535455861071
et,nl,0.8391751678437527,0.8110812034015388
et,pt,0.7624551814056114,0.7231931018587562
et,ru,0.8733275833802596,0.8485765726101279
et,ta,0.7998228520814881,0.7160362280234417
et,te,0.8685800604229608,0.8394648829431438
et,tr,0.7607650608571136,0.6977682811016145
et,ur,0.7184006583910568,0.6187997167964683
et,vi,0.5739100225812055,0.4856071356172714
et,zh,0.42276711679696755,0.30666523096801984
eu,af,0.703968403234907,0.6659362549800797
eu,ar,0.6119448934041407,0.5259741775816581
eu,bg,0.6944496239666853,0.6272512901131198
eu,de,0.7096147181581207,0.6743459643121977
eu,el,0.724923562481507,0.6668461000161491
eu,en,0.7016700728062333,0.6461083275362574
eu,es,0.6686262341325812,0.6211218133085292
eu,et,0.8071787058612655,0.7614402560903375
eu,eu,0.9643494500933804,0.9518874225569451
eu,fa,0.6103459219295462,0.5175293409569665
eu,fi,0.789783427495292,0.7516979170051669
eu,fr,0.44233993336304406,0.43331283269357196
eu,he,0.7207465900933238,0.6429529254005223
eu,hi,0.6695629951443904,0.5906264866549649
eu,hu,0.7275354703100367,0.6451547231270359
eu,id,0.7013162067871868,0.6420140169679086
eu,it,0.6675816634641779,0.6114956304619226
eu,ja,0.2926723011239871,0.23586495046836042
eu,ko,0.6304651412611452,0.5064527722416441
