col1,col2,chi2,p,result
20A Fusion of Selected Inflectional Formatives,"81B Languages with two Dominant Orders of Subject, Object, and Verb",0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,143E Preverbal Negative Morphemes,2.1052631578947367,0.9776135760445396,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,143C Optional Double Negation,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,143A Order of Negative Morpheme and Verb,3.294117647058824,0.9999908503744024,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144W Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144Q SNegOV Order,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144L The Position of Negative Morphemes in SOV Languages,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144H NegSVO Order,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144C Languages with different word order in negative clauses,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144T The Position of Negative Morphemes in Verb-Initial Languages,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,143G Minor morphological means of signaling negation,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,137B M in Second Person Singular,10.625730994152047,0.03110844965463272,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,136B M in First Person Singular,7.8390652557319225,0.09765454331581032,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,109B Other Roles of Applied Objects,12.4,0.4141130385843775,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,25B Zero Marking of A and P Arguments,19.42857142857143,0.0006472954317663378,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,21B Exponence of Tense-Aspect-Mood Inflection,13.185185185185185,0.10563482423654506,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,108B Productivity of the Antipassive Construction,0.3478260869565217,0.9865212692840976,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,58B Number of Possessive Nouns,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,79B Suppletion in Imperatives and Hortatives,3.294117647058824,0.914567950952687,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,8.387755102040815,0.7541421972396036,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,23A Locus of Marking in the Clause,18.594155844155843,0.02887356233182206,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,24A Locus of Marking in Possessive Noun Phrases,37.37142857142858,0.0001944365962146686,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,25A Locus of Marking: Whole-language Typology,12.551020408163266,0.18399634871731446,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,26A Prefixing vs. Suffixing in Inflectional Morphology,12.157142857142857,0.4331432997581386,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,27A Reduplication,12.972789115646256,0.043470098651176715,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,28A Case Syncretism,13.912337662337663,0.1254778953751343,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,29A Syncretism in Verbal Person/Number Marking,10.487528344671203,0.10556618286627288,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,30A Number of Genders,17.526666666666664,0.041079515868012347,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,31A Sex-based and Non-sex-based Gender Systems,7.756746031746032,0.2564719210085949,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,32A Systems of Gender Assignment,15.94345238095238,0.01406072119108363,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,33A Coding of Nominal Plurality,12.817708333333332,0.3824285568018015,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,34A Occurrence of Nominal Plurality,8.571428571428571,0.1991535672190352,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,35A Plurality in Independent Personal Pronouns,10.036630036630036,0.817429480452389,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,36A The Associative Plural,13.587755102040814,0.13776375167786176,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,37A Definite Articles,10.937500000000002,0.20526574826192887,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,38A Indefinite Articles,6.7333333333333325,0.3462139251754888,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,39A Inclusive/Exclusive Distinction in Independent Pronouns,10.539682539682538,0.10368826743135656,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,40A Inclusive/Exclusive Distinction in Verbal Inflection,6.1380952380952385,0.4078998464062896,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,41A Distance Contrasts in Demonstratives,7.936813186813188,0.24276919172413605,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,42A Pronominal and Adnominal Demonstratives,6.285714285714287,0.3919569922723756,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,43A Third Person Pronouns and Demonstratives,9.916666666666666,0.6232713703921209,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,44A Gender Distinctions in Independent Personal Pronouns,4.585858585858586,0.8688141692775215,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,45A Politeness Distinctions in Pronouns,21.547619047619047,0.010428763167824463,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,46A Indefinite Pronouns,29.307931354359933,0.003545484890060608,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,47A Intensifiers and Reflexive Pronouns,5.104761904761905,0.16428473983059658,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,48A Person Marking on Adpositions,24.221804511278204,0.0004753968740486191,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,49A Number of Cases,22.22711038961039,0.22205808472404331,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,50A Asymmetrical Case-Marking,29.459415584415588,0.003365599539428711,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,51A Position of Case Affixes,17.195238095238093,0.028139085244557764,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,52A Comitatives and Instrumentals,3.5725,0.7343002356325325,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,53A Ordinal Numerals,12.321428571428573,0.4202227912385037,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,54A Distributive Numerals,49.828571428571436,1.4973843678315824e-06,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,55A Numeral Classifiers,4.904761904761903,0.556084995325246,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,56A Conjunctions and Universal Quantifiers,2.649691358024691,0.8513530454606484,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,57A Position of Pronominal Possessive Affixes,0.08465608465608465,0.9585552822845717,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,58A Obligatory Possessive Inflection,0.0,1.0,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,59A Possessive Classification,0.0,1.0,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,"60A Genitives, Adjectives and Relative Clauses",15.746969696969698,0.3990646555726121,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,61A Adjectives without Nouns,6.5649350649350655,0.6823131223084624,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,62A Action Nominal Constructions,22.142857142857146,0.3913179904694946,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,63A Noun Phrase Conjunction,1.760971055088702,0.6234646711454166,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,64A Nominal and Verbal Conjunction,4.888888888888889,0.1801164064794638,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,65A Perfective/Imperfective Aspect,5.904761904761902,0.11633682794118624,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,66A The Past Tense,4.8115246098439375,0.18613003256080696,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,67A The Future Tense,4.241269841269841,0.2365623355500455,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,68A The Perfect,8.057142857142857,0.5283980207255403,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,69A Position of Tense-Aspect Affixes,15.766666666666666,0.07191699601847606,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,70A The Morphological Imperative,7.8317460317460315,0.5511872163793092,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,71A The Prohibitive,6.262585034013605,0.7133771436561276,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,72A Imperative-Hortative Systems,2.8812229437229435,0.8236002074894822,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,73A The Optative,11.999999999999998,0.007383160505359788,Dependent (reject H0)
21A Exponence of Selected Inflectional Formatives,74A Situational Possibility,6.873469387755103,0.3327074513510638,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,75A Epistemic Possibility,7.421768707482992,0.2835957297155796,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,76A Overlap between Situational and Epistemic Modal Marking,7.902494331065759,0.2453342360183165,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,77A Semantic Distinctions of Evidentiality,7.591836734693878,0.2695565681196601,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,78A Coding of Evidentiality,23.816326530612244,0.06827894650674572,Independent (fail to reject H0)
21A Exponence of Selected Inflectional Formatives,79A Suppletion According to Tense and Aspect,3.035250463821892,0.8044097008562909,Independent (fail to reject H0)
